margin,conf,changed,score,delta,fold0_delta,fold1_delta,both_positive
0.1,0.4,937,0.768642053145956,-0.001481227098535376,-0.0006376239320624588,-0.002333933350607831,False
0.12,0.35,1419,0.7685786627805747,-0.0015446174639166532,-0.0010234357352805201,-0.0020744012625157904,False
0.15,0.35,1506,0.7685520505442981,-0.0015712297001932995,-0.0015220439094252303,-0.0016297671320131268,False
0.12,0.3,1489,0.7685376840532817,-0.0015855961912096816,-0.0010753844599883378,-0.0021040638253726485,False
0.15,0.3,1577,0.7685110694611449,-0.0016122107833465016,-0.001573920490359093,-0.0016595194742909936,False
0.1,0.35,1336,0.7684461334568785,-0.001677146787612882,-0.0011830144624384031,-0.002179017599482802,False
0.2,0.45,718,0.7684203244570157,-0.0017029557874757018,-0.0015260989082411802,-0.0018916233856465237,False
0.1,0.3,1403,0.7684051255051495,-0.0017181547393418928,-0.0012350830076809372,-0.002208468243328432,False
0.2,0.4,1191,0.7677961032188524,-0.0023271770256390045,-0.002380888674147319,-0.0022778138613415155,False
0.2,0.35,1621,0.7674110303348575,-0.0027122499096339237,-0.0033306121916218956,-0.0021024576057624422,False
0.2,0.3,1697,0.7673398857810539,-0.0027833944634374497,-0.003382484347757675,-0.002192562253992114,False
